1,Africa/Abidjan,GMT0
2,Africa/Accra,GMT0
3,Africa/Addis_Ababa,EAT-3
4,Africa/Algiers,CET-1
5,Africa/Asmara,EAT-3
6,Africa/Bamako,GMT0
7,Africa/Bangui,WAT-1
8,Africa/Banjul,GMT0
9,Africa/Bissau,GMT0
10,Africa/Blantyre,CAT-2
11,Africa/Brazzaville,WAT-1
12,Africa/Bujumbura,CAT-2
13,Africa/Cairo,EET-2
14,Africa/Casablanca,<+01>-1
15,Africa/Ceuta,"CET-1CEST,M3.5.0,M10.5.0/3"
16,Africa/Conakry,GMT0
17,Africa/Dakar,GMT0
18,Africa/Dar_es_Salaam,EAT-3
19,Africa/Djibouti,EAT-3
20,Africa/Douala,WAT-1
21,Africa/El_Aaiun,<+01>-1
22,Africa/Freetown,GMT0
23,Africa/Gaborone,CAT-2
24,Africa/Harare,CAT-2
25,Africa/Johannesburg,SAST-2
26,Africa/Juba,CAT-2
27,Africa/Kampala,EAT-3
28,Africa/Khartoum,CAT-2
29,Africa/Kigali,CAT-2
30,Africa/Kinshasa,WAT-1
31,Africa/Lagos,WAT-1
32,Africa/Libreville,WAT-1
33,Africa/Lome,GMT0
34,Africa/Luanda,WAT-1
35,Africa/Lubumbashi,CAT-2
36,Africa/Lusaka,CAT-2
37,Africa/Malabo,WAT-1
38,Africa/Maputo,CAT-2
39,Africa/Maseru,SAST-2
40,Africa/Mbabane,SAST-2
41,Africa/Mogadishu,EAT-3
42,Africa/Monrovia,GMT0
43,Africa/Nairobi,EAT-3
44,Africa/Ndjamena,WAT-1
45,Africa/Niamey,WAT-1
46,Africa/Nouakchott,GMT0
47,Africa/Ouagadougou,GMT0
48,Africa/Porto-Novo,WAT-1
49,Africa/Sao_Tome,GMT0
50,Africa/Tripoli,EET-2
51,Africa/Tunis,CET-1
52,Africa/Windhoek,CAT-2
53,America/Adak,"HST10HDT,M3.2.0,M11.1.0"
54,America/Anchorage,"AKST9AKDT,M3.2.0,M11.1.0"
55,America/Anguilla,AST4
56,America/Antigua,AST4
57,America/Araguaina,<-03>3
58,America/Argentina/Buenos_Aires,<-03>3
59,America/Argentina/Catamarca,<-03>3
60,America/Argentina/Cordoba,<-03>3
61,America/Argentina/Jujuy,<-03>3
62,America/Argentina/La_Rioja,<-03>3
63,America/Argentina/Mendoza,<-03>3
64,America/Argentina/Rio_Gallegos,<-03>3
65,America/Argentina/Salta,<-03>3
66,America/Argentina/San_Juan,<-03>3
67,America/Argentina/San_Luis,<-03>3
68,America/Argentina/Tucuman,<-03>3
69,America/Argentina/Ushuaia,<-03>3
70,America/Aruba,AST4
71,America/Asuncion,"<-04>4<-03>,M10.1.0/0,M3.4.0/0"
72,America/Atikokan,EST5
73,America/Bahia,<-03>3
74,America/Bahia_Banderas,"CST6CDT,M4.1.0,M10.5.0"
75,America/Barbados,AST4
76,America/Belem,<-03>3
77,America/Belize,CST6
78,America/Blanc-Sablon,AST4
79,America/Boa_Vista,<-04>4
80,America/Bogota,<-05>5
81,America/Boise,"MST7MDT,M3.2.0,M11.1.0"
82,America/Cambridge_Bay,"MST7MDT,M3.2.0,M11.1.0"
83,America/Campo_Grande,<-04>4
84,America/Cancun,EST5
85,America/Caracas,<-04>4
86,America/Cayenne,<-03>3
87,America/Cayman,EST5
88,America/Chicago,"CST6CDT,M3.2.0,M11.1.0"
89,America/Chihuahua,"MST7MDT,M4.1.0,M10.5.0"
90,America/Costa_Rica,CST6
91,America/Creston,MST7
92,America/Cuiaba,<-04>4
93,America/Curacao,AST4
94,America/Danmarkshavn,GMT0
95,America/Dawson,MST7
96,America/Dawson_Creek,MST7
97,America/Denver,"MST7MDT,M3.2.0,M11.1.0"
98,America/Detroit,"EST5EDT,M3.2.0,M11.1.0"
99,America/Dominica,AST4
100,America/Edmonton,"MST7MDT,M3.2.0,M11.1.0"
101,America/Eirunepe,<-05>5
102,America/El_Salvador,CST6
103,America/Fortaleza,<-03>3
104,America/Fort_Nelson,MST7
105,America/Glace_Bay,"AST4ADT,M3.2.0,M11.1.0"
106,America/Godthab,"<-03>3<-02>,M3.5.0/-2,M10.5.0/-1"
107,America/Goose_Bay,"AST4ADT,M3.2.0,M11.1.0"
108,America/Grand_Turk,"EST5EDT,M3.2.0,M11.1.0"
109,America/Grenada,AST4
110,America/Guadeloupe,AST4
111,America/Guatemala,CST6
112,America/Guayaquil,<-05>5
113,America/Guyana,<-04>4
114,America/Halifax,"AST4ADT,M3.2.0,M11.1.0"
115,America/Havana,"CST5CDT,M3.2.0/0,M11.1.0/1"
116,America/Hermosillo,MST7
117,America/Indiana/Indianapolis,"EST5EDT,M3.2.0,M11.1.0"
118,America/Indiana/Knox,"CST6CDT,M3.2.0,M11.1.0"
119,America/Indiana/Marengo,"EST5EDT,M3.2.0,M11.1.0"
120,America/Indiana/Petersburg,"EST5EDT,M3.2.0,M11.1.0"
121,America/Indiana/Tell_City,"CST6CDT,M3.2.0,M11.1.0"
122,America/Indiana/Vevay,"EST5EDT,M3.2.0,M11.1.0"
123,America/Indiana/Vincennes,"EST5EDT,M3.2.0,M11.1.0"
124,America/Indiana/Winamac,"EST5EDT,M3.2.0,M11.1.0"
125,America/Inuvik,"MST7MDT,M3.2.0,M11.1.0"
126,America/Iqaluit,"EST5EDT,M3.2.0,M11.1.0"
127,America/Jamaica,EST5
128,America/Juneau,"AKST9AKDT,M3.2.0,M11.1.0"
129,America/Kentucky/Louisville,"EST5EDT,M3.2.0,M11.1.0"
130,America/Kentucky/Monticello,"EST5EDT,M3.2.0,M11.1.0"
131,America/Kralendijk,AST4
132,America/La_Paz,<-04>4
133,America/Lima,<-05>5
134,America/Los_Angeles,"PST8PDT,M3.2.0,M11.1.0"
135,America/Lower_Princes,AST4
136,America/Maceio,<-03>3
137,America/Managua,CST6
138,America/Manaus,<-04>4
139,America/Marigot,AST4
140,America/Martinique,AST4
141,America/Matamoros,"CST6CDT,M3.2.0,M11.1.0"
142,America/Mazatlan,"MST7MDT,M4.1.0,M10.5.0"
143,America/Menominee,"CST6CDT,M3.2.0,M11.1.0"
144,America/Merida,"CST6CDT,M4.1.0,M10.5.0"
145,America/Metlakatla,"AKST9AKDT,M3.2.0,M11.1.0"
146,America/Mexico_City,"CST6CDT,M4.1.0,M10.5.0"
147,America/Miquelon,"<-03>3<-02>,M3.2.0,M11.1.0"
148,America/Moncton,"AST4ADT,M3.2.0,M11.1.0"
149,America/Monterrey,"CST6CDT,M4.1.0,M10.5.0"
150,America/Montevideo,<-03>3
151,America/Montreal,"EST5EDT,M3.2.0,M11.1.0"
152,America/Montserrat,AST4
153,America/Nassau,"EST5EDT,M3.2.0,M11.1.0"
154,America/New_York,"EST5EDT,M3.2.0,M11.1.0"
155,America/Nipigon,"EST5EDT,M3.2.0,M11.1.0"
156,America/Nome,"AKST9AKDT,M3.2.0,M11.1.0"
157,America/Noronha,<-02>2
158,America/North_Dakota/Beulah,"CST6CDT,M3.2.0,M11.1.0"
159,America/North_Dakota/Center,"CST6CDT,M3.2.0,M11.1.0"
160,America/North_Dakota/New_Salem,"CST6CDT,M3.2.0,M11.1.0"
161,America/Nuuk,"<-03>3<-02>,M3.5.0/-2,M10.5.0/-1"
162,America/Ojinaga,"MST7MDT,M3.2.0,M11.1.0"
163,America/Panama,EST5
164,America/Pangnirtung,"EST5EDT,M3.2.0,M11.1.0"
165,America/Paramaribo,<-03>3
166,America/Phoenix,MST7
167,America/Port-au-Prince,"EST5EDT,M3.2.0,M11.1.0"
168,America/Port_of_Spain,AST4
169,America/Porto_Velho,<-04>4
170,America/Puerto_Rico,AST4
171,America/Punta_Arenas,<-03>3
172,America/Rainy_River,"CST6CDT,M3.2.0,M11.1.0"
173,America/Rankin_Inlet,"CST6CDT,M3.2.0,M11.1.0"
174,America/Recife,<-03>3
175,America/Regina,CST6
176,America/Resolute,"CST6CDT,M3.2.0,M11.1.0"
177,America/Rio_Branco,<-05>5
178,America/Santarem,<-03>3
179,America/Santiago,"<-04>4<-03>,M9.1.6/24,M4.1.6/24"
180,America/Santo_Domingo,AST4
181,America/Sao_Paulo,<-03>3
182,America/Scoresbysund,"<-01>1<+00>,M3.5.0/0,M10.5.0/1"
183,America/Sitka,"AKST9AKDT,M3.2.0,M11.1.0"
184,America/St_Barthelemy,AST4
185,America/St_Johns,"NST3:30NDT,M3.2.0,M11.1.0"
186,America/St_Kitts,AST4
187,America/St_Lucia,AST4
188,America/St_Thomas,AST4
189,America/St_Vincent,AST4
190,America/Swift_Current,CST6
191,America/Tegucigalpa,CST6
192,America/Thule,"AST4ADT,M3.2.0,M11.1.0"
193,America/Thunder_Bay,"EST5EDT,M3.2.0,M11.1.0"
194,America/Tijuana,"PST8PDT,M3.2.0,M11.1.0"
195,America/Toronto,"EST5EDT,M3.2.0,M11.1.0"
196,America/Tortola,AST4
197,America/Vancouver,"PST8PDT,M3.2.0,M11.1.0"
198,America/Whitehorse,MST7
199,America/Winnipeg,"CST6CDT,M3.2.0,M11.1.0"
200,America/Yakutat,"AKST9AKDT,M3.2.0,M11.1.0"
201,America/Yellowknife,"MST7MDT,M3.2.0,M11.1.0"
202,Antarctica/Casey,<+11>-11
203,Antarctica/Davis,<+07>-7
204,Antarctica/DumontDUrville,<+10>-10
205,Antarctica/Macquarie,"AEST-10AEDT,M10.1.0,M4.1.0/3"
206,Antarctica/Mawson,<+05>-5
207,Antarctica/McMurdo,"NZST-12NZDT,M9.5.0,M4.1.0/3"
208,Antarctica/Palmer,<-03>3
209,Antarctica/Rothera,<-03>3
210,Antarctica/Syowa,<+03>-3
211,Antarctica/Troll,"<+00>0<+02>-2,M3.5.0/1,M10.5.0/3"
212,Antarctica/Vostok,<+06>-6
213,Arctic/Longyearbyen,"CET-1CEST,M3.5.0,M10.5.0/3"
214,Asia/Aden,<+03>-3
215,Asia/Almaty,<+06>-6
216,Asia/Amman,"EET-2EEST,M2.5.4/24,M10.5.5/1"
217,Asia/Anadyr,<+12>-12
218,Asia/Aqtau,<+05>-5
219,Asia/Aqtobe,<+05>-5
220,Asia/Ashgabat,<+05>-5
221,Asia/Atyrau,<+05>-5
222,Asia/Baghdad,<+03>-3
223,Asia/Bahrain,<+03>-3
224,Asia/Baku,<+04>-4
225,Asia/Bangkok,<+07>-7
226,Asia/Barnaul,<+07>-7
227,Asia/Beirut,"EET-2EEST,M3.5.0/0,M10.5.0/0"
228,Asia/Bishkek,<+06>-6
229,Asia/Brunei,<+08>-8
230,Asia/Chita,<+09>-9
231,Asia/Choibalsan,<+08>-8
232,Asia/Colombo,<+0530>-5:30
233,Asia/Damascus,"EET-2EEST,M3.5.5/0,M10.5.5/0"
234,Asia/Dhaka,<+06>-6
235,Asia/Dili,<+09>-9
236,Asia/Dubai,<+04>-4
237,Asia/Dushanbe,<+05>-5
238,Asia/Famagusta,"EET-2EEST,M3.5.0/3,M10.5.0/4"
239,Asia/Gaza,"EET-2EEST,M3.4.4/48,M10.5.5/1"
240,Asia/Hebron,"EET-2EEST,M3.4.4/48,M10.5.5/1"
241,Asia/Ho_Chi_Minh,<+07>-7
242,Asia/Hong_Kong,HKT-8
243,Asia/Hovd,<+07>-7
244,Asia/Irkutsk,<+08>-8
245,Asia/Jakarta,WIB-7
246,Asia/Jayapura,WIT-9
247,Asia/Jerusalem,"IST-2IDT,M3.4.4/26,M10.5.0"
248,Asia/Kabul,<+0430>-4:30
249,Asia/Kamchatka,<+12>-12
250,Asia/Karachi,PKT-5
251,Asia/Kathmandu,<+0545>-5:45
252,Asia/Khandyga,<+09>-9
253,Asia/Kolkata,IST-5:30
254,Asia/Krasnoyarsk,<+07>-7
255,Asia/Kuala_Lumpur,<+08>-8
256,Asia/Kuching,<+08>-8
257,Asia/Kuwait,<+03>-3
258,Asia/Macau,CST-8
259,Asia/Magadan,<+11>-11
260,Asia/Makassar,WITA-8
261,Asia/Manila,PST-8
262,Asia/Muscat,<+04>-4
263,Asia/Nicosia,"EET-2EEST,M3.5.0/3,M10.5.0/4"
264,Asia/Novokuznetsk,<+07>-7
265,Asia/Novosibirsk,<+07>-7
266,Asia/Omsk,<+06>-6
267,Asia/Oral,<+05>-5
268,Asia/Phnom_Penh,<+07>-7
269,Asia/Pontianak,WIB-7
270,Asia/Pyongyang,KST-9
271,Asia/Qatar,<+03>-3
272,Asia/Qyzylorda,<+05>-5
273,Asia/Riyadh,<+03>-3
274,Asia/Sakhalin,<+11>-11
275,Asia/Samarkand,<+05>-5
276,Asia/Seoul,KST-9
277,Asia/Shanghai,CST-8
278,Asia/Singapore,<+08>-8
279,Asia/Srednekolymsk,<+11>-11
280,Asia/Taipei,CST-8
281,Asia/Tashkent,<+05>-5
282,Asia/Tbilisi,<+04>-4
283,Asia/Tehran,"<+0330>-3:30<+0430>,J79/24,J263/24"
284,Asia/Thimphu,<+06>-6
285,Asia/Tokyo,JST-9
286,Asia/Tomsk,<+07>-7
287,Asia/Ulaanbaatar,<+08>-8
288,Asia/Urumqi,<+06>-6
289,Asia/Ust-Nera,<+10>-10
290,Asia/Vientiane,<+07>-7
291,Asia/Vladivostok,<+10>-10
292,Asia/Yakutsk,<+09>-9
293,Asia/Yangon,<+0630>-6:30
294,Asia/Yekaterinburg,<+05>-5
295,Asia/Yerevan,<+04>-4
296,Atlantic/Azores,"<-01>1<+00>,M3.5.0/0,M10.5.0/1"
297,Atlantic/Bermuda,"AST4ADT,M3.2.0,M11.1.0"
298,Atlantic/Canary,"WET0WEST,M3.5.0/1,M10.5.0"
299,Atlantic/Cape_Verde,<-01>1
300,Atlantic/Faroe,"WET0WEST,M3.5.0/1,M10.5.0"
301,Atlantic/Madeira,"WET0WEST,M3.5.0/1,M10.5.0"
302,Atlantic/Reykjavik,GMT0
303,Atlantic/South_Georgia,<-02>2
304,Atlantic/Stanley,<-03>3
305,Atlantic/St_Helena,GMT0
306,Australia/Adelaide,"ACST-9:30ACDT,M10.1.0,M4.1.0/3"
307,Australia/Brisbane,AEST-10
308,Australia/Broken_Hill,"ACST-9:30ACDT,M10.1.0,M4.1.0/3"
309,Australia/Currie,"AEST-10AEDT,M10.1.0,M4.1.0/3"
310,Australia/Darwin,ACST-9:30
311,Australia/Eucla,<+0845>-8:45
312,Australia/Hobart,"AEST-10AEDT,M10.1.0,M4.1.0/3"
313,Australia/Lindeman,AEST-10
314,Australia/Lord_Howe,"<+1030>-10:30<+11>-11,M10.1.0,M4.1.0"
315,Australia/Melbourne,"AEST-10AEDT,M10.1.0,M4.1.0/3"
316,Australia/Perth,AWST-8
317,Australia/Sydney,"AEST-10AEDT,M10.1.0,M4.1.0/3"
318,Europe/Amsterdam,"CET-1CEST,M3.5.0,M10.5.0/3"
319,Europe/Andorra,"CET-1CEST,M3.5.0,M10.5.0/3"
320,Europe/Astrakhan,<+04>-4
321,Europe/Athens,"EET-2EEST,M3.5.0/3,M10.5.0/4"
322,Europe/Belgrade,"CET-1CEST,M3.5.0,M10.5.0/3"
323,Europe/Berlin,"CET-1CEST,M3.5.0,M10.5.0/3"
324,Europe/Bratislava,"CET-1CEST,M3.5.0,M10.5.0/3"
325,Europe/Brussels,"CET-1CEST,M3.5.0,M10.5.0/3"
326,Europe/Bucharest,"EET-2EEST,M3.5.0/3,M10.5.0/4"
327,Europe/Budapest,"CET-1CEST,M3.5.0,M10.5.0/3"
328,Europe/Busingen,"CET-1CEST,M3.5.0,M10.5.0/3"
329,Europe/Chisinau,"EET-2EEST,M3.5.0,M10.5.0/3"
330,Europe/Copenhagen,"CET-1CEST,M3.5.0,M10.5.0/3"
331,Europe/Dublin,"IST-1GMT0,M10.5.0,M3.5.0/1"
332,Europe/Gibraltar,"CET-1CEST,M3.5.0,M10.5.0/3"
333,Europe/Guernsey,"GMT0BST,M3.5.0/1,M10.5.0"
334,Europe/Helsinki,"EET-2EEST,M3.5.0/3,M10.5.0/4"
335,Europe/Isle_of_Man,"GMT0BST,M3.5.0/1,M10.5.0"
336,Europe/Istanbul,<+03>-3
337,Europe/Jersey,"GMT0BST,M3.5.0/1,M10.5.0"
338,Europe/Kaliningrad,EET-2
339,Europe/Kiev,"EET-2EEST,M3.5.0/3,M10.5.0/4"
340,Europe/Kirov,<+03>-3
341,Europe/Lisbon,"WET0WEST,M3.5.0/1,M10.5.0"
342,Europe/Ljubljana,"CET-1CEST,M3.5.0,M10.5.0/3"
343,Europe/London,"GMT0BST,M3.5.0/1,M10.5.0"
344,Europe/Luxembourg,"CET-1CEST,M3.5.0,M10.5.0/3"
345,Europe/Madrid,"CET-1CEST,M3.5.0,M10.5.0/3"
346,Europe/Malta,"CET-1CEST,M3.5.0,M10.5.0/3"
347,Europe/Mariehamn,"EET-2EEST,M3.5.0/3,M10.5.0/4"
348,Europe/Minsk,<+03>-3
349,Europe/Monaco,"CET-1CEST,M3.5.0,M10.5.0/3"
350,Europe/Moscow,MSK-3
351,Europe/Oslo,"CET-1CEST,M3.5.0,M10.5.0/3"
352,Europe/Paris,"CET-1CEST,M3.5.0,M10.5.0/3"
353,Europe/Podgorica,"CET-1CEST,M3.5.0,M10.5.0/3"
354,Europe/Prague,"CET-1CEST,M3.5.0,M10.5.0/3"
355,Europe/Riga,"EET-2EEST,M3.5.0/3,M10.5.0/4"
356,Europe/Rome,"CET-1CEST,M3.5.0,M10.5.0/3"
357,Europe/Samara,<+04>-4
358,Europe/San_Marino,"CET-1CEST,M3.5.0,M10.5.0/3"
359,Europe/Sarajevo,"CET-1CEST,M3.5.0,M10.5.0/3"
360,Europe/Saratov,<+04>-4
361,Europe/Simferopol,MSK-3
362,Europe/Skopje,"CET-1CEST,M3.5.0,M10.5.0/3"
363,Europe/Sofia,"EET-2EEST,M3.5.0/3,M10.5.0/4"
364,Europe/Stockholm,"CET-1CEST,M3.5.0,M10.5.0/3"
365,Europe/Tallinn,"EET-2EEST,M3.5.0/3,M10.5.0/4"
366,Europe/Tirane,"CET-1CEST,M3.5.0,M10.5.0/3"
367,Europe/Ulyanovsk,<+04>-4
368,Europe/Uzhgorod,"EET-2EEST,M3.5.0/3,M10.5.0/4"
369,Europe/Vaduz,"CET-1CEST,M3.5.0,M10.5.0/3"
370,Europe/Vatican,"CET-1CEST,M3.5.0,M10.5.0/3"
371,Europe/Vienna,"CET-1CEST,M3.5.0,M10.5.0/3"
372,Europe/Vilnius,"EET-2EEST,M3.5.0/3,M10.5.0/4"
373,Europe/Volgograd,<+03>-3
374,Europe/Warsaw,"CET-1CEST,M3.5.0,M10.5.0/3"
375,Europe/Zagreb,"CET-1CEST,M3.5.0,M10.5.0/3"
376,Europe/Zaporozhye,"EET-2EEST,M3.5.0/3,M10.5.0/4"
377,Europe/Zurich,"CET-1CEST,M3.5.0,M10.5.0/3"
378,Indian/Antananarivo,EAT-3
379,Indian/Chagos,<+06>-6
380,Indian/Christmas,<+07>-7
381,Indian/Cocos,<+0630>-6:30
382,Indian/Comoro,EAT-3
383,Indian/Kerguelen,<+05>-5
384,Indian/Mahe,<+04>-4
385,Indian/Maldives,<+05>-5
386,Indian/Mauritius,<+04>-4
387,Indian/Mayotte,EAT-3
388,Indian/Reunion,<+04>-4
389,Pacific/Apia,<+13>-13
390,Pacific/Auckland,"NZST-12NZDT,M9.5.0,M4.1.0/3"
391,Pacific/Bougainville,<+11>-11
392,Pacific/Chatham,"<+1245>-12:45<+1345>,M9.5.0/2:45,M4.1.0/3:45"
393,Pacific/Chuuk,<+10>-10
394,Pacific/Easter,"<-06>6<-05>,M9.1.6/22,M4.1.6/22"
395,Pacific/Efate,<+11>-11
396,Pacific/Enderbury,<+13>-13
397,Pacific/Fakaofo,<+13>-13
398,Pacific/Fiji,"<+12>-12<+13>,M11.2.0,M1.2.3/99"
399,Pacific/Funafuti,<+12>-12
400,Pacific/Galapagos,<-06>6
401,Pacific/Gambier,<-09>9
402,Pacific/Guadalcanal,<+11>-11
403,Pacific/Guam,ChST-10
404,Pacific/Honolulu,HST10
405,Pacific/Kiritimati,<+14>-14
406,Pacific/Kosrae,<+11>-11
407,Pacific/Kwajalein,<+12>-12
408,Pacific/Majuro,<+12>-12
409,Pacific/Marquesas,<-0930>9:30
410,Pacific/Midway,SST11
411,Pacific/Nauru,<+12>-12
412,Pacific/Niue,<-11>11
413,Pacific/Norfolk,"<+11>-11<+12>,M10.1.0,M4.1.0/3"
414,Pacific/Noumea,<+11>-11
415,Pacific/Pago_Pago,SST11
416,Pacific/Palau,<+09>-9
417,Pacific/Pitcairn,<-08>8
418,Pacific/Pohnpei,<+11>-11
419,Pacific/Port_Moresby,<+10>-10
420,Pacific/Rarotonga,<-10>10
421,Pacific/Saipan,ChST-10
422,Pacific/Tahiti,<-10>10
423,Pacific/Tarawa,<+12>-12
424,Pacific/Tongatapu,<+13>-13
425,Pacific/Wake,<+12>-12
426,Pacific/Wallis,<+12>-12
427,Etc/GMT,GMT0
428,Etc/GMT-0,GMT0
429,Etc/GMT-1,<+01>-1
430,Etc/GMT-2,<+02>-2
431,Etc/GMT-3,<+03>-3
432,Etc/GMT-4,<+04>-4
433,Etc/GMT-5,<+05>-5
434,Etc/GMT-6,<+06>-6
435,Etc/GMT-7,<+07>-7
436,Etc/GMT-8,<+08>-8
437,Etc/GMT-9,<+09>-9
438,Etc/GMT-10,<+10>-10
439,Etc/GMT-11,<+11>-11
440,Etc/GMT-12,<+12>-12
441,Etc/GMT-13,<+13>-13
442,Etc/GMT-14,<+14>-14
443,Etc/GMT0,GMT0
444,Etc/GMT+0,GMT0
445,Etc/GMT+1,<-01>1
446,Etc/GMT+2,<-02>2
447,Etc/GMT+3,<-03>3
448,Etc/GMT+4,<-04>4
449,Etc/GMT+5,<-05>5
450,Etc/GMT+6,<-06>6
451,Etc/GMT+7,<-07>7
452,Etc/GMT+8,<-08>8
453,Etc/GMT+9,<-09>9
454,Etc/GMT+10,<-10>10
455,Etc/GMT+11,<-11>11
456,Etc/GMT+12,<-12>12
457,Etc/UCT,UTC0
458,Etc/UTC,UTC0
459,Etc/Greenwich,GMT0
460,Etc/Universal,UTC0
461,Etc/Zulu,UTC0